id_achat;date_achat;id_produit;quantité;id_fournisseur;prix_unitaire;délai_livraison_jours
PO000001;22/03/2024;P00627;150;S029;129.62;14
PO000002;12/06/2024;P00469;50;S028;110.81;8
PO000003;19/01/2024;P00849;75;S001;140.58;8
PO000004;20/11/2024;P00484;500;S028;120.77;9
PO000005;07/06/2024;P00196;50;S025;256.05;13
PO000006;21/03/2024;P00013;50;S029;90.66;12
PO000007;27/01/2024;P00775;100;S029;151.01;9
PO000008;13/07/2024;P00876;200;S028;299.85;8
PO000009;18/10/2024;P00631;25;S018;194.49;9
PO000010;29/08/2024;P00519;100;S008;290.86;10
PO000011;24/09/2024;P00274;200;S028;132.94;11
PO000012;28/01/2024;P00752;50;S008;103.28;3
PO000013;12/02/2024;P00963;50;S008;81.21;4
PO000014;14/07/2024;P00509;100;S028;233.21;2
PO000015;07/11/2024;P00380;25;S036;132.32;8
PO000016;20/06/2024;P00870;50;S010;176.8;2
PO000017;15/05/2024;P00989;200;S008;126.68;3
PO000018;24/11/2024;P00209;75;S010;79.69;14
PO000019;07/05/2024;P00695;10;S012;34.53;5
PO000020;22/12/2024;P00597;50;S008;134.66;6
PO000021;07/12/2024;P00960;100;S029;222.78;13
PO000022;13/06/2024;P00917;75;S029;218.21;13
PO000023;25/01/2024;P00023;100;S029;169.34;4
PO000024;23/06/2024;P00583;150;S048;50.24;8
PO000025;29/04/2024;P00754;75;S008;21.85;4
PO000026;16/06/2024;P00977;500;S008;296.62;4
PO000027;19/04/2024;P00875;200;S048;132.76;5
PO000028;20/05/2024;P00685;10;S008;54.98;7
PO000029;22/07/2024;P00911;50;S008;141.07;12
PO000030;03/07/2024;P00624;50;S012;17.74;14
PO000031;02/01/2024;P00652;25;S029;96.73;5
PO000032;04/07/2024;P00826;50;S028;212.35;3
PO000033;03/02/2024;P00488;50;S029;61.93;12
PO000034;25/09/2024;P00075;10;S008;58.04;11
PO000035;28/09/2024;P00492;25;S029;103.61;8
PO000036;11/10/2024;P00492;10;S028;109.27;4
PO000037;23/06/2024;P00712;10;S008;231.74;2
PO000038;28/05/2024;P00628;75;S028;225.36;2
PO000039;27/07/2024;P00067;50;S048;45.95;12
PO000040;12/01/2024;P00777;300;S012;188.66;2
PO000041;01/06/2024;P00178;25;S029;286.95;14
PO000042;07/08/2024;P00414;300;S012;247.82;14
PO000043;20/01/2024;P00720;10;S029;116.34;4
PO000044;09/01/2024;P00909;100;S007;85.54;13
PO000045;13/07/2024;P00751;25;S028;273.45;12
PO000046;26/11/2024;P00271;150;S048;223.16;7
PO000047;28/05/2024;P00118;10;S044;119.89;10
PO000048;05/01/2024;P00200;300;S028;289.17;2
PO000049;21/10/2024;P00449;10;S047;235.06;6
PO000050;18/08/2024;P00113;25;S029;125.22;7
PO000051;13/05/2024;P00708;75;S029;11.13;14
PO000052;07/05/2024;P00241;150;S021;159.8;11
PO000053;14/09/2024;P00253;300;S010;153.8;10
PO000054;02/12/2024;P00559;50;S008;269.7;3
PO000055;27/04/2024;P00515;150;S002;272.78;8
PO000056;14/04/2024;P00851;100;S029;57.93;7
PO000057;26/11/2024;P00895;75;S002;206.59;14
PO000058;20/11/2024;P00697;100;S012;154.65;6
PO000059;15/03/2024;P00697;10;S030;49.44;14
PO000060;06/06/2024;P00640;50;S010;142.83;11
PO000061;27/12/2024;P00707;150;S002;112.94;6
PO000062;22/06/2024;P00392;75;S045;296.7;8
PO000063;29/02/2024;P00170;200;S028;37.29;3
PO000064;01/03/2024;P00915;150;S012;127.07;10
PO000065;22/09/2024;P00925;200;S008;158.22;2
PO000066;05/11/2024;P00750;25;S028;170.04;10
PO000067;25/05/2024;P00551;25;S029;24.7;6
PO000068;07/05/2024;P00294;10;S028;26.01;6
PO000069;14/02/2024;P00786;500;S050;166.51;9
PO000070;11/08/2024;P00802;25;S002;114.27;3
PO000071;06/10/2024;P00321;50;S012;184.46;5
PO000072;24/06/2024;P00079;50;S035;257.36;14
PO000073;11/06/2024;P00488;10;S029;159.6;12
PO000074;12/07/2024;P00168;50;S048;274.16;11
PO000075;21/10/2024;P00749;10;S026;193.36;3
PO000076;25/09/2024;P00054;50;S029;29.64;2
PO000077;30/12/2024;P00603;300;S006;270.37;12
PO000078;02/04/2024;P00536;100;S002;168.43;5
PO000079;21/09/2024;P00325;100;S045;28.0;5
PO000080;24/10/2024;P00752;75;S028;24.54;12
PO000081;25/02/2024;P00419;150;S008;287.52;10
PO000082;18/02/2024;P00931;200;S019;250.25;13
PO000083;13/09/2024;P00234;300;S029;196.41;9
PO000084;07/11/2024;P00325;10;S029;171.05;3
PO000085;29/09/2024;P00591;200;S028;109.0;4
PO000086;06/11/2024;P00876;25;S028;108.17;2
PO000087;04/08/2024;P00178;50;S012;250.29;11
PO000088;25/11/2024;P00983;50;S029;58.03;8
PO000089;30/10/2024;P00646;100;S002;270.17;2
PO000090;07/10/2024;P00823;75;S029;255.78;3
PO000091;15/07/2024;P00080;25;S028;49.41;8
PO000092;05/10/2024;P00029;150;S012;18.93;7
PO000093;19/12/2024;P00361;50;S008;35.81;2
PO000094;25/12/2024;P00890;10;S029;60.48;4
PO000095;02/04/2024;P00240;50;S029;285.53;7
PO000096;02/02/2024;P00070;75;S010;143.3;3
PO000097;19/04/2024;P00259;10;S028;156.89;8
PO000098;02/09/2024;P00428;25;S028;50.72;3
PO000099;27/09/2024;P00557;500;S034;248.05;5
PO000100;04/12/2024;P00515;200;S029;81.06;13
PO000101;19/02/2024;P00901;25;S028;49.7;8
PO000102;06/09/2024;P00054;75;S028;78.34;13
PO000103;29/08/2024;P00892;50;S029;188.95;14
PO000104;03/07/2024;P00755;75;S010;293.27;8
