id_commande;date_commande;id_produit;quantité;entrepôt;statut
O000001;2024-09-03;P00413;2;Marseille;Livré
O000002;2024-11-09;P00778;15;Lyon;Expédié
O000004;2024-11-03;P00535;8;Lyon;Livré
O000006;2024-01-24;P00898;3;Paris;Livré
O000007;2024-02-15;P00445;1;Lyon;Livré
O000008;2024-04-30;P00526;1;Lyon;Livré
O000009;2024-12-29;P00942;1;Lyon;Livré
O000011;2024-12-10;P00699;10;Lyon;Livré
O000012;2024-11-26;P00046;5;Lyon;Livré
O000013;2024-10-29;P00765;5;Marseille;Expédié
O000014;2024-03-05;P00846;1;Marseille;Livré
O000015;2024-12-07;P00417;15;Lyon;Livré
O000018;2024-11-25;P00630;10;Paris;Livré
O000019;2024-04-16;P00876;1;Paris;Expédié
O000020;2024-11-21;P00516;1;Lyon;Livré
O000021;2024-08-13;P00171;1;Paris;Expédié
O000022;2024-02-19;P00414;2;Paris;Livré
O000023;2024-12-05;P00699;3;Lyon;Livré
O000024;2024-03-15;P00012;2;Marseille;Livré
O000025;2024-12-25;P00467;2;Marseille;Livré
O000026;2024-11-22;P00948;5;Paris;Livré
O000027;2024-12-28;P00707;1;Marseille;Expédié
O000028;2024-12-13;P00757;2;Lyon;Livré
O000029;2024-12-25;P00319;2;Lyon;Expédié
O000031;2024-11-07;P00435;3;Lyon;Expédié
O000032;2024-05-17;P00912;8;Lyon;Livré
O000033;2024-10-07;P00355;1;Lyon;Expédié
O000034;2024-12-06;P00116;3;Lyon;Livré
O000035;2024-12-03;P00193;3;Paris;Livré
O000036;2024-01-24;P00982;1;Lyon;Livré
O000037;2024-12-14;P00205;5;Marseille;Expédié
O000038;2024-01-17;P00012;1;Lyon;Expédié
O000039;2024-12-01;P00698;1;Paris;Livré
O000040;2024-03-19;P00452;15;Paris;Expédié
O000041;2024-11-14;P00466;15;Marseille;Expédié
O000042;2024-09-17;P00182;8;Lyon;Livré
O000043;2024-05-22;P00140;2;Paris;Expédié
O000044;2024-12-02;P00759;1;Lyon;Expédié
O000045;2024-09-24;P00732;5;Marseille;Livré
O000046;2024-11-11;P00886;2;Lyon;Expédié
O000047;2024-04-04;P00021;1;Paris;Expédié
O000048;2024-11-14;P00362;3;Marseille;Livré
O000049;2024-05-17;P00296;1;Lyon;Expédié
O000051;2024-11-26;P00765;12;Marseille;Expédié
O000053;2024-02-18;P00452;2;Marseille;Livré
O000054;2024-12-18;P00568;5;Marseille;Livré
O000056;2024-09-14;P00886;2;Paris;Livré
O000057;2024-12-03;P00791;3;Paris;Livré
O000058;2024-11-10;P00672;3;Paris;Livré
O000059;2024-12-07;P00658;1;Marseille;Expédié
O000060;2024-09-17;P00550;15;Paris;Expédié
O000061;2024-12-16;P00631;8;Paris;Expédié
O000062;2024-04-17;P00461;12;Paris;Livré
O000063;2024-10-25;P00343;12;Marseille;Expédié
O000064;2024-08-22;P00658;3;Marseille;Expédié
O000065;2024-03-05;P00240;12;Paris;Expédié
O000066;2024-05-05;P00890;1;Paris;Livré
O000067;2024-08-23;P00046;1;Marseille;Expédié
O000069;2024-01-05;P00161;1;Marseille;Livré
O000071;2024-10-03;P00037;2;Lyon;Livré
O000072;2024-02-10;P00759;2;Lyon;Expédié
O000073;2024-02-26;P00612;2;Marseille;Livré
O000074;2024-01-17;P00147;10;Marseille;Livré
O000075;2024-01-16;P00653;2;Lyon;Livré
O000076;2024-12-06;P00504;2;Lyon;Livré
O000077;2024-10-02;P00246;3;Paris;Livré
O000078;2024-11-24;P00377;1;Lyon;Livré
O000080;2024-12-05;P00924;8;Paris;Livré
O000082;2024-11-21;P00339;1;Marseille;Expédié
O000083;2024-08-06;P00876;20;Paris;Livré
O000084;2024-02-16;P00341;8;Lyon;Livré
O000085;2024-12-19;P00370;1;Marseille;Livré
O000086;2024-08-05;P00414;1;Marseille;Livré
O000087;2024-12-08;P00026;8;Lyon;Expédié
O000088;2024-09-01;P00250;5;Marseille;Livré
O000090;2024-01-21;P00222;8;Paris;Expédié
O000091;2024-11-18;P00050;8;Lyon;Expédié
O000092;2024-10-11;P00953;1;Lyon;Expédié
O000093;2024-10-21;P00745;2;Marseille;Livré
O000094;2024-03-30;P00305;1;Marseille;Livré
O000096;2024-03-18;P00638;10;Lyon;Livré
O000097;2024-11-22;P00846;5;Paris;Livré
O000098;2024-01-19;P00026;2;Paris;Livré
O000099;2024-11-08;P00193;1;Lyon;Livré
