id_expedition;id_commande;id_produit;quantité;entrepôt;date_expedition;date_livraison;transporteur;coût_transport;délai_livraison
SHP000001;O000001;P00413;2;Marseille;2024-09-09;2024-09-15;UPS;11.62;6
SHP000002;O000002;P00778;15;Lyon;2024-11-16;2024-11-23;Chronopost;13.61;7
SHP000003;O000004;P00535;8;Lyon;2024-11-06;2024-11-09;FedEx;19.32;3
SHP000004;O000006;P00898;3;Paris;2024-01-26;2024-01-28;DHL;14.79;2
SHP000005;O000007;P00445;1;Lyon;2024-02-18;2024-02-21;FedEx;13.56;3
SHP000006;O000008;P00526;1;Lyon;2024-05-03;2024-05-06;FedEx;13.56;3
SHP000007;O000009;P00942;1;Lyon;2025-01-02;2025-01-06;FedEx;12.58;4
SHP000008;O000011;P00699;10;Lyon;2024-12-13;2024-12-16;FedEx;20.66;3
SHP000009;O000012;P00046;5;Lyon;2024-11-29;2024-12-02;FedEx;18.01;3
SHP000010;O000013;P00765;5;Marseille;2024-11-01;2024-11-04;FedEx;19.08;3
SHP000011;O000014;P00846;1;Marseille;2024-03-07;2024-03-09;DHL;10.16;2
SHP000012;O000015;P00417;15;Lyon;2024-12-09;2024-12-11;DHL;17.76;2
SHP000013;O000018;P00630;10;Paris;2024-11-29;2024-12-03;FedEx;20.32;4
SHP000014;O000019;P00876;1;Paris;2024-04-18;2024-04-20;DHL;11.7;2
SHP000015;O000020;P00516;1;Lyon;2024-11-27;2024-12-03;Chronopost;7.45;6
SHP000016;O000021;P00171;1;Paris;2024-08-16;2024-08-19;FedEx;13.83;3
SHP000017;O000022;P00414;2;Paris;2024-02-25;2024-03-02;Chronopost;8.43;6
SHP000018;O000023;P00699;3;Lyon;2024-12-07;2024-12-09;DHL;14.2;2
SHP000019;O000024;P00012;2;Marseille;2024-03-21;2024-03-27;Chronopost;9.46;6
SHP000020;O000025;P00467;2;Marseille;2024-12-29;2025-01-02;UPS;11.04;4
SHP000021;O000026;P00948;5;Paris;2024-11-29;2024-12-06;Chronopost;10.89;7
SHP000022;O000027;P00707;1;Marseille;2024-12-30;2025-01-01;DHL;11.12;2
SHP000023;O000028;P00757;2;Lyon;2024-12-20;2024-12-27;Chronopost;8.34;7
SHP000024;O000029;P00319;2;Lyon;2024-12-29;2025-01-02;FedEx;15.66;4
SHP000025;O000031;P00435;3;Lyon;2024-11-13;2024-11-19;Chronopost;9.65;6
SHP000026;O000032;P00912;8;Lyon;2024-05-19;2024-05-21;DHL;16.28;2
SHP000027;O000033;P00355;1;Lyon;2024-10-11;2024-10-15;FedEx;14.0;4
SHP000028;O000034;P00116;3;Lyon;2024-12-09;2024-12-12;FedEx;17.14;3
SHP000029;O000035;P00193;3;Paris;2024-12-07;2024-12-11;FedEx;17.92;4
SHP000030;O000036;P00982;1;Lyon;2024-01-29;2024-02-03;UPS;9.33;5
SHP000031;O000037;P00205;5;Marseille;2024-12-18;2024-12-22;FedEx;18.08;4
SHP000032;O000038;P00012;1;Lyon;2024-01-22;2024-01-27;UPS;10.19;5
SHP000033;O000039;P00698;1;Paris;2024-12-05;2024-12-09;FedEx;12.65;4
SHP000034;O000040;P00452;15;Paris;2024-03-23;2024-03-27;FedEx;21.49;4
SHP000035;O000041;P00466;15;Marseille;2024-11-17;2024-11-20;FedEx;21.66;3
SHP000036;O000042;P00182;8;Lyon;2024-09-20;2024-09-23;FedEx;20.08;3
SHP000037;O000043;P00140;2;Paris;2024-05-29;2024-06-05;Chronopost;8.44;7
SHP000038;O000044;P00759;1;Lyon;2024-12-06;2024-12-10;FedEx;12.98;4
SHP000039;O000045;P00732;5;Marseille;2024-09-26;2024-09-28;DHL;15.47;2
SHP000040;O000046;P00886;2;Lyon;2024-11-15;2024-11-19;FedEx;16.4;4
SHP000041;O000047;P00021;1;Paris;2024-04-08;2024-04-12;UPS;9.85;4
SHP000042;O000048;P00362;3;Marseille;2024-11-18;2024-11-22;UPS;12.47;4
SHP000043;O000049;P00296;1;Lyon;2024-05-20;2024-05-23;FedEx;12.34;3
SHP000044;O000051;P00765;12;Marseille;2024-11-29;2024-12-02;FedEx;21.09;3
SHP000045;O000053;P00452;2;Marseille;2024-02-20;2024-02-22;DHL;12.07;2
SHP000046;O000054;P00568;5;Marseille;2024-12-20;2024-12-22;DHL;15.3;2
SHP000047;O000056;P00886;2;Paris;2024-09-20;2024-09-26;UPS;11.18;6
SHP000048;O000057;P00791;3;Paris;2024-12-06;2024-12-09;FedEx;17.2;3
SHP000049;O000058;P00672;3;Paris;2024-11-15;2024-11-20;UPS;12.83;5
SHP000050;O000059;P00658;1;Marseille;2024-12-11;2024-12-15;FedEx;13.85;4
SHP000051;O000060;P00550;15;Paris;2024-09-21;2024-09-25;FedEx;21.7;4
SHP000052;O000061;P00631;8;Paris;2024-12-18;2024-12-20;DHL;16.2;2
SHP000053;O000062;P00461;12;Paris;2024-04-23;2024-04-29;UPS;15.58;6
SHP000054;O000063;P00343;12;Marseille;2024-10-30;2024-11-04;UPS;15.26;5
SHP000055;O000064;P00658;3;Marseille;2024-08-26;2024-08-30;FedEx;17.98;4
SHP000056;O000065;P00240;12;Paris;2024-03-11;2024-03-17;UPS;15.45;6
SHP000057;O000066;P00890;1;Paris;2024-05-12;2024-05-19;Chronopost;6.71;7
SHP000058;O000067;P00046;1;Marseille;2024-08-29;2024-09-04;UPS;10.37;6
SHP000059;O000069;P00161;1;Marseille;2024-01-07;2024-01-09;DHL;10.36;2
SHP000060;O000071;P00037;2;Lyon;2024-10-05;2024-10-07;DHL;12.6;2
SHP000061;O000072;P00759;2;Lyon;2024-02-16;2024-02-22;UPS;11.72;6
SHP000062;O000073;P00612;2;Marseille;2024-03-01;2024-03-05;FedEx;14.71;4
SHP000063;O000074;P00147;10;Marseille;2024-01-21;2024-01-25;UPS;14.8;4
SHP000064;O000075;P00653;2;Lyon;2024-01-22;2024-01-28;UPS;11.5;6
SHP000065;O000076;P00504;2;Lyon;2024-12-08;2024-12-10;DHL;12.25;2
SHP000066;O000077;P00246;3;Paris;2024-10-04;2024-10-06;DHL;14.34;2
SHP000067;O000078;P00377;1;Lyon;2024-11-26;2024-11-28;DHL;11.13;2
SHP000068;O000080;P00924;8;Paris;2024-12-08;2024-12-11;FedEx;20.02;3
SHP000069;O000082;P00339;1;Marseille;2024-11-24;2024-11-27;FedEx;12.75;3
SHP000070;O000083;P00876;20;Paris;2024-08-12;2024-08-18;UPS;15.91;6
SHP000071;O000084;P00341;8;Lyon;2024-02-19;2024-02-22;FedEx;19.72;3
SHP000072;O000085;P00370;1;Marseille;2024-12-22;2024-12-25;FedEx;13.99;3
SHP000073;O000086;P00414;1;Marseille;2024-08-07;2024-08-09;DHL;10.04;2
SHP000074;O000087;P00026;8;Lyon;2024-12-11;2024-12-14;FedEx;20.15;3
SHP000075;O000088;P00250;5;Marseille;2024-09-05;2024-09-09;FedEx;19.07;4
SHP000076;O000090;P00222;8;Paris;2024-01-23;2024-01-25;DHL;15.83;2
SHP000077;O000091;P00050;8;Lyon;2024-11-25;2024-12-02;Chronopost;12.17;7
SHP000078;O000092;P00953;1;Lyon;2024-10-14;2024-10-17;FedEx;12.74;3
SHP000079;O000093;P00745;2;Marseille;2024-10-23;2024-10-25;DHL;12.87;2
SHP000080;O000094;P00305;1;Marseille;2024-04-06;2024-04-13;Chronopost;6.93;7
SHP000081;O000096;P00638;10;Lyon;2024-03-20;2024-03-22;DHL;16.9;2
SHP000082;O000097;P00846;5;Paris;2024-11-27;2024-12-02;UPS;13.36;5
SHP000083;O000098;P00026;2;Paris;2024-01-23;2024-01-27;FedEx;15.31;4
SHP000084;O000099;P00193;1;Lyon;2024-11-15;2024-11-22;Chronopost;6.51;7
SHP000085;O000100;P00931;2;Lyon;2024-10-25;2024-10-27;DHL;12.49;2
SHP000086;O000101;P00620;2;Lyon;2024-12-16;2024-12-19;FedEx;15.25;3
SHP000087;O000102;P00917;8;Marseille;2024-09-26;2024-09-28;DHL;15.84;2
SHP000088;O000103;P00010;5;Paris;2024-04-13;2024-04-15;DHL;15.1;2
SHP000089;O000104;P00996;10;Marseille;2024-01-25;2024-01-27;DHL;17.1;2
SHP000090;O000105;P00631;3;Marseille;2024-03-10;2024-03-15;UPS;12.31;5
SHP000091;O000106;P00536;1;Lyon;2024-02-24;2024-02-27;FedEx;13.2;3
SHP000092;O000107;P00839;5;Lyon;2024-10-03;2024-10-08;UPS;13.99;5
SHP000093;O000109;P00379;8;Paris;2024-06-23;2024-06-25;DHL;16.09;2
SHP000094;O000110;P00729;3;Lyon;2024-06-02;2024-06-09;Chronopost;10.49;7
SHP000095;O000112;P00070;8;Paris;2024-03-02;2024-03-09;Chronopost;12.17;7
SHP000096;O000113;P00466;3;Marseille;2024-10-27;2024-10-30;FedEx;16.94;3
SHP000097;O000114;P00462;3;Lyon;2024-12-25;2024-12-31;UPS;12.66;6
SHP000098;O000116;P00093;2;Paris;2025-01-03;2025-01-07;FedEx;16.28;4
SHP000099;O000117;P00831;1;Lyon;2024-12-20;2024-12-23;FedEx;12.25;3
SHP000100;O000118;P00467;1;Marseille;2024-11-15;2024-11-17;DHL;10.86;2
SHP000101;O000119;P00012;1;Marseille;2024-10-26;2024-10-28;DHL;10.25;2
SHP000102;O000120;P00843;5;Lyon;2024-09-05;2024-09-09;FedEx;18.36;4
SHP000103;O000121;P00012;2;Marseille;2024-11-04;2024-11-06;DHL;12.51;2
SHP000104;O000122;P00407;3;Paris;2024-12-15;2024-12-18;FedEx;17.09;3
SHP000105;O000123;P00671;12;Paris;2024-11-23;2024-11-25;DHL;17.26;2
SHP000106;O000124;P00890;1;Paris;2024-12-20;2024-12-23;FedEx;14.49;3
SHP000107;O000125;P00604;2;Paris;2024-12-23;2024-12-27;FedEx;16.1;4
SHP000108;O000126;P00063;8;Lyon;2024-06-30;2024-07-06;Chronopost;12.04;6
SHP000109;O000127;P00831;1;Lyon;2024-11-06;2024-11-08;DHL;11.83;2
SHP000110;O000128;P00240;1;Marseille;2024-06-06;2024-06-10;FedEx;12.77;4
SHP000111;O000129;P00254;2;Paris;2024-12-15;2024-12-19;FedEx;14.9;4
SHP000112;O000130;P00336;1;Paris;2024-12-15;2024-12-20;UPS;10.13;5
SHP000113;O000131;P00470;12;Paris;2024-07-08;2024-07-10;DHL;17.44;2
SHP000114;O000132;P00400;8;Marseille;2024-05-01;2024-05-05;FedEx;20.08;4
SHP000115;O000134;P00028;5;Lyon;2024-05-18;2024-05-25;Chronopost;11.07;7
SHP000116;O000136;P00008;10;Paris;2024-03-09;2024-03-11;DHL;16.97;2
SHP000117;O000137;P00160;8;Lyon;2024-08-30;2024-09-01;DHL;16.43;2
SHP000118;O000138;P00462;1;Paris;2024-03-28;2024-04-01;FedEx;13.87;4
SHP000119;O000139;P00009;12;Paris;2024-05-03;2024-05-07;FedEx;20.93;4
SHP000120;O000140;P00226;3;Paris;2024-09-17;2024-09-24;Chronopost;10.31;7
SHP000121;O000141;P00592;8;Lyon;2024-01-10;2024-01-17;Chronopost;12.46;7
SHP000122;O000142;P00426;12;Lyon;2024-10-07;2024-10-10;FedEx;20.96;3
SHP000123;O000143;P00233;2;Lyon;2024-12-27;2024-12-30;FedEx;15.18;3
SHP000124;O000145;P00973;1;Marseille;2024-11-18;2024-11-20;DHL;10.88;2
SHP000125;O000146;P00011;1;Paris;2024-11-16;2024-11-20;FedEx;14.28;4
SHP000126;O000147;P00693;2;Paris;2024-01-22;2024-01-29;Chronopost;9.42;7
SHP000127;O000149;P00037;8;Paris;2024-11-06;2024-11-10;FedEx;20.18;4
SHP000128;O000150;P00948;10;Marseille;2024-11-29;2024-12-03;FedEx;20.61;4
SHP000129;O000151;P00396;1;Lyon;2024-12-26;2024-12-30;FedEx;12.07;4
SHP000130;O000152;P00143;3;Marseille;2024-12-26;2024-12-30;FedEx;17.11;4
SHP000131;O000153;P00105;2;Marseille;2024-11-02;2024-11-06;FedEx;16.17;4
SHP000132;O000154;P00403;1;Marseille;2024-12-05;2024-12-07;DHL;11.78;2
SHP000133;O000155;P00099;1;Marseille;2024-10-14;2024-10-19;UPS;9.84;5
SHP000134;O000156;P00435;2;Paris;2024-10-06;2024-10-08;DHL;12.7;2
SHP000135;O000158;P00506;15;Paris;2024-10-20;2024-10-26;UPS;15.6;6
SHP000136;O000159;P00550;2;Lyon;2024-10-03;2024-10-07;FedEx;15.23;4
SHP000137;O000160;P00458;3;Lyon;2024-10-02;2024-10-08;UPS;12.63;6
SHP000138;O000161;P00252;5;Paris;2024-12-29;2024-12-31;DHL;15.62;2
SHP000139;O000162;P00173;2;Marseille;2024-04-03;2024-04-08;UPS;11.55;5
SHP000140;O000163;P00037;15;Marseille;2024-06-18;2024-06-21;FedEx;21.72;3
SHP000141;O000164;P00396;15;Marseille;2024-11-16;2024-11-18;DHL;17.7;2
SHP000142;O000165;P00462;2;Paris;2024-02-01;2024-02-03;DHL;12.01;2
SHP000143;O000166;P00046;3;Marseille;2024-12-25;2024-12-29;FedEx;16.97;4
SHP000144;O000167;P00754;2;Paris;2024-11-09;2024-11-12;FedEx;15.01;3
