id_commande;id_produit;date_retour;motif
O026807;P00184;2024-09-12;Client insatisfait
O008302;P00063;2024-12-15;Livraison incomplète
O045235;P00158;2024-04-12;Livraison incomplète
O001001;P00136;2024-11-18;Livraison incomplète
O005871;P00258;2024-11-29;Mauvaise référence
O034289;P00952;2024-09-26;Livraison incomplète
O049182;P00510;2024-01-31;Produit abîmé
O047652;P00143;2024-12-07;Produit abîmé
O034617;P00037;2024-12-24;Mauvaise référence
O044580;P00175;2025-01-17;Livraison incomplète
O036151;P00414;2024-08-10;Produit abîmé
O049616;P00250;2024-02-21;Livraison incomplète
O046082;P00014;2024-12-31;Client insatisfait
O039217;P00881;2024-01-31;Client insatisfait
O027720;P00710;2025-01-06;Livraison incomplète
O008204;P00615;2024-02-18;Livraison incomplète
O017119;P00895;2024-02-07;Livraison incomplète
O049905;P00175;2024-12-23;Client insatisfait
O048067;P00906;2024-10-28;Produit abîmé
O048024;P00536;2025-01-17;Client insatisfait
O031890;P00008;2024-12-16;Livraison incomplète
O049038;P00612;2024-05-24;Mauvaise référence
O031460;P00037;2024-03-06;Produit abîmé
O046063;P00876;2024-04-12;Mauvaise référence
O009851;P00470;2024-10-22;Client insatisfait
O019027;P00971;2024-04-19;Produit abîmé
O019448;P00182;2024-03-19;Produit abîmé
O019386;P00080;2024-09-21;Mauvaise référence
O032590;P00948;2025-01-07;Mauvaise référence
O045125;P00093;2025-01-04;Mauvaise référence
O018135;P00506;2024-05-28;Mauvaise référence
O018344;P00738;2024-12-30;Produit abîmé
O039623;P00658;2024-11-28;Client insatisfait
O018854;P00175;2025-01-05;Mauvaise référence
O026046;P00135;2025-01-01;Livraison incomplète
O007615;P00121;2024-02-12;Produit abîmé
O026331;P00467;2024-05-18;Mauvaise référence
O041383;P00222;2024-03-30;Livraison incomplète
O013077;P00515;2024-06-03;Client insatisfait
O043823;P00931;2024-01-30;Client insatisfait
O035483;P00612;2024-03-23;Mauvaise référence
O043367;P00233;2024-04-17;Livraison incomplète
O017699;P00220;2024-05-01;Mauvaise référence
O011966;P00470;2025-01-09;Produit abîmé
O017205;P00742;2024-10-23;Produit abîmé
O006807;P00012;2024-10-27;Produit abîmé
O004182;P00921;2025-01-01;Mauvaise référence
O016098;P00009;2025-01-03;Mauvaise référence
O013211;P00742;2024-11-07;Mauvaise référence
O015759;P00014;2025-01-10;Client insatisfait
O005509;P00226;2024-12-09;Client insatisfait
O033144;P00654;2024-10-23;Livraison incomplète
O005479;P00250;2024-09-03;Mauvaise référence
O047172;P00516;2024-05-05;Produit abîmé
O013507;P00604;2024-12-01;Produit abîmé
O009836;P00305;2024-10-26;Mauvaise référence
O010878;P00604;2025-01-18;Livraison incomplète
O029872;P00603;2025-01-17;Produit abîmé
O033984;P00612;2024-05-17;Livraison incomplète
O030155;P00886;2024-01-25;Mauvaise référence
O046471;P00330;2024-09-29;Client insatisfait
O025736;P00506;2024-11-05;Produit abîmé
O006720;P00106;2024-12-24;Livraison incomplète
O009415;P00136;2024-12-20;Client insatisfait
O021286;P00212;2024-11-09;Livraison incomplète
O041310;P00336;2024-12-12;Client insatisfait
O023338;P00002;2024-02-18;Mauvaise référence
O032444;P00810;2025-01-19;Client insatisfait
O025641;P00106;2024-03-16;Produit abîmé
O034981;P00355;2024-04-07;Mauvaise référence
O038949;P00032;2024-07-12;Mauvaise référence
O015696;P00886;2024-11-02;Produit abîmé
O009551;P00535;2024-12-31;Client insatisfait
O044794;P00963;2024-01-26;Mauvaise référence
O032620;P00452;2024-12-25;Mauvaise référence
O035073;P00604;2024-03-14;Mauvaise référence
O001527;P00449;2024-11-30;Livraison incomplète
O026542;P00012;2025-01-02;Produit abîmé
O009957;P00509;2024-12-24;Produit abîmé
O020624;P00881;2024-03-03;Mauvaise référence
O043587;P00175;2024-10-31;Mauvaise référence
O028160;P00452;2024-11-01;Produit abîmé
O015154;P00014;2024-05-29;Client insatisfait
O006437;P00371;2024-07-29;Mauvaise référence
O000255;P00811;2024-11-01;Livraison incomplète
O014937;P00895;2025-01-13;Produit abîmé
O024718;P00654;2025-01-16;Client insatisfait
O046242;P00398;2024-10-20;Client insatisfait
O022895;P00140;2024-12-07;Produit abîmé
O019932;P00284;2024-11-29;Livraison incomplète
O030618;P00396;2024-12-06;Mauvaise référence
O011339;P00886;2024-10-10;Produit abîmé
O042542;P00541;2024-03-11;Livraison incomplète
O006199;P00452;2025-01-17;Produit abîmé
O033696;P00234;2024-02-27;Client insatisfait
O043717;P00012;2024-12-12;Mauvaise référence
O021892;P00305;2024-06-14;Client insatisfait
O026280;P00398;2024-11-21;Produit abîmé
O048677;P00973;2024-04-02;Livraison incomplète
O035592;P00184;2025-01-27;Produit abîmé
O013273;P00284;2024-11-27;Mauvaise référence
O022409;P00921;2025-01-16;Produit abîmé
O031580;P00193;2024-06-11;Produit abîmé
O033976;P00371;2024-12-25;Client insatisfait
O040759;P00938;2024-05-12;Mauvaise référence
O041051;P00509;2024-11-25;Produit abîmé
O031933;P00008;2024-10-03;Mauvaise référence
O036440;P00024;2025-01-08;Mauvaise référence
O019197;P00143;2024-03-31;Livraison incomplète
O043172;P00305;2024-12-26;Livraison incomplète
O006436;P00175;2024-12-26;Client insatisfait
O030827;P00952;2025-01-01;Client insatisfait
O029838;P00029;2024-09-26;Livraison incomplète
O033414;P00371;2024-08-31;Produit abîmé
O004809;P00809;2024-12-28;Produit abîmé
O010334;P00452;2024-06-11;Mauvaise référence
O015959;P00811;2024-05-06;Client insatisfait
O048848;P00463;2024-08-17;Livraison incomplète
O012051;P00188;2024-12-14;Produit abîmé
O028439;P00198;2024-09-16;Livraison incomplète
O017063;P00170;2025-01-03;Mauvaise référence
O035388;P00541;2024-10-27;Livraison incomplète
O004122;P00188;2024-12-28;Mauvaise référence
O042388;P00952;2024-04-17;Client insatisfait
O021297;P00933;2024-11-14;Produit abîmé
O049720;P00532;2024-02-07;Produit abîmé
O029342;P00943;2024-03-03;Produit abîmé
O011338;P00791;2024-05-03;Client insatisfait
O036342;P00923;2024-06-07;Mauvaise référence
O035611;P00226;2024-08-12;Produit abîmé
O038846;P00212;2024-03-13;Client insatisfait
O045517;P00488;2024-07-01;Produit abîmé
O018042;P00603;2025-01-05;Produit abîmé
O046135;P00106;2024-02-24;Client insatisfait
O017183;P00957;2024-11-11;Produit abîmé
O027094;P00032;2024-11-05;Produit abîmé
O038129;P00895;2024-02-17;Livraison incomplète
O030187;P00063;2024-07-23;Livraison incomplète
O037421;P00396;2024-02-26;Mauvaise référence
O026445;P00055;2024-10-27;Client insatisfait
O024728;P00226;2025-01-08;Livraison incomplète
O044631;P00612;2024-01-13;Livraison incomplète
O028822;P00463;2024-12-13;Produit abîmé
O043523;P00620;2024-11-29;Livraison incomplète
O023655;P00610;2024-01-29;Mauvaise référence
O028301;P00516;2024-03-04;Produit abîmé
O019693;P00140;2024-11-23;Produit abîmé
O034144;P00226;2024-01-12;Mauvaise référence
O025087;P00319;2024-12-19;Produit abîmé
O029928;P00963;2024-09-22;Mauvaise référence
O024302;P00106;2025-01-07;Mauvaise référence
O005586;P00136;2024-04-29;Mauvaise référence
O023547;P00654;2024-08-09;Livraison incomplète
O017862;P00754;2024-05-04;Produit abîmé
